word1,word2,bigram,pmi,freq,mean_prob_compound,mean_prob_control,boost_ratio,mean_rank_compound,mean_rank_control,best_rank_compound,top5_after_w1
grandfather,frog,grandfather frog,16.31595722644324,21,2.999208946530274e-06,1.8383909401453735e-05,0.1631431531256952,10522.75,6512.0,4875,"[('a', 0.1845283955335617), ('the', 0.04365812987089157), ('an', 0.041490450501441956), ('killed', 0.019423792138695717), ('also', 0.019124260172247887)]"
mock,turtle,mock turtle,15.096450196150366,56,6.621464806955135e-06,2.5708221991216362e-05,0.2575621452630006,12522.25,7668.25,1834,"[('created', 0.07339409738779068), ('made', 0.04222393035888672), ('designed', 0.036038145422935486), ('a', 0.03594944626092911), ('taken', 0.01719643548130989)]"
audio,video,audio video,14.863598003168878,26,0.021442546751586633,0.000260988379295668,82.15900956760548,240.625,2132.0,1,"[('recorded', 0.11220945417881012), ('played', 0.04829346761107445), ('taken', 0.038034889847040176), ('not', 0.033739492297172546), ('also', 0.025797616690397263)]"
orange,juice,orange juice,14.497421974267427,40,6.46826961858693e-05,3.2713426417529945e-05,1.9772522560097276,2952.0,4425.625,227,"[('a', 0.07206948101520538), ('the', 0.04683643579483032), ('hes', 0.022210555151104927), ('not', 0.01618068292737007), ('also', 0.014129957184195518)]"
broadly,consistent,broadly consistent,13.79064176662628,21,0.000195879750435779,2.9516896884018706e-05,6.636190491346463,4392.375,8618.25,154,"[('a', 0.05870669335126877), ('the', 0.04042736440896988), ('not', 0.02903355471789837), ('hes', 0.013407622464001179), ('founded', 0.011916437186300755)]"
regulatory,approvals,regulatory approvals,13.729261758497627,32,3.4241424502035045e-05,1.6868005950354537e-07,202.99627948207683,10509.25,34428.125,294,"[('not', 0.03732496127486229), ('set', 0.026352109387516975), ('a', 0.02025378681719303), ('also', 0.017201891168951988), ('designed', 0.015490896068513393)]"
newspaper,advertisement,newspaper advertisement,13.628183920138307,20,8.312699280921265e-06,4.80669090574537e-06,1.7294016702811519,5620.125,15214.5,1655,"[('also', 0.06070670485496521), ('not', 0.03548184409737587), ('founded', 0.03187105804681778), ('the', 0.017291808500885963), ('forced', 0.016305366531014442)]"
dominant,stress,dominant stress,13.56704857676919,31,1.1715238439791165e-05,1.0336622118245486e-05,1.1333720344784821,6080.125,5346.75,1894,"[('the', 0.1457289457321167), ('that', 0.05919510871171951), ('a', 0.04767177999019623), ('not', 0.01587814837694168), ('in', 0.014695646241307259)]"
nineteenth,century,nineteenth century,13.514604985940784,36,0.0006463952757655989,3.1196823631063353e-06,207.19906725438838,2807.25,10074.375,36,"[('the', 0.2265046089887619), ('a', 0.16683444380760193), ('an', 0.03362788259983063), ('also', 0.020470861345529556), ('not', 0.016882607713341713)]"
incoming,orders,incoming orders,13.38376519247186,20,1.5289206629631735e-05,4.808081726537239e-06,3.1798974100723036,4967.25,8838.875,1015,"[('a', 0.09089098125696182), ('not', 0.035234611481428146), ('the', 0.026081062853336334), ('an', 0.019830379635095596), ('greeted', 0.01244138740003109)]"
vegetable,oils,vegetable oils,13.100853037216384,51,2.8218129952239934e-05,5.4207277609963356e-06,5.2055980666059884,6881.375,20825.375,439,"[('a', 0.037362705916166306), ('cooked', 0.025667628273367882), ('also', 0.02305997721850872), ('not', 0.019376862794160843), ('then', 0.018169855698943138)]"
eighteenth,century,eighteenth century,13.090634361891931,23,0.00045197493201953876,3.1196823631063353e-06,144.87850986518305,3353.5,10074.375,52,"[('the', 0.22446653246879578), ('a', 0.14033153653144836), ('an', 0.028606601059436798), ('also', 0.023086756467819214), ('held', 0.01593898795545101)]"
unknown,destinations,unknown destinations,12.98635687621395,21,5.90675667488938e-07,1.6905877031625494e-07,3.493907274872357,22017.625,29483.125,10630,"[('that', 0.05546712130308151), ('the', 0.04486110433936119), ('a', 0.0403001569211483), ('not', 0.03371137008070946), ('also', 0.0167811568826437)]"
maximum,rebate,maximum rebate,12.906566290305536,21,1.7827647758039689e-06,6.58409599063603e-07,2.7076834516681343,15830.125,20247.875,5728,"[('set', 0.07567919790744781), ('$', 0.0638640746474266), ('raised', 0.025130603462457657), ('a', 0.024694034829735756), ('the', 0.018865080550312996)]"
housing,starts,housing starts,12.892014076152721,31,1.7066583062330665e-06,2.8060469787760667e-06,0.6082073176755834,9857.5,11640.5,2627,"[('built', 0.047903262078762054), ('a', 0.028651520609855652), ('not', 0.028329821303486824), ('sold', 0.02308458276093006), ('also', 0.014786281622946262)]"
mar,mar,mar mar,12.824945106552935,32,0.0004268545591799011,8.332876728900374e-05,5.122535386842689,488.125,1336.375,107,"[('a', 0.051338423043489456), ('not', 0.017550775781273842), ('the', 0.017471950501203537), ('also', 0.014737123623490334), ('made', 0.010410794056952)]"
managing,director,managing director,12.824104130113563,42,0.0002342919001989685,7.436945054450916e-06,31.50378259938169,821.75,6943.0,127,"[('a', 0.05451653152704239), ('also', 0.033507321029901505), ('not', 0.025954948738217354), ('the', 0.016376076266169548), ('an', 0.014790036715567112)]"
joint,ventures,joint ventures,12.634961828334053,31,6.785677619802755e-08,2.678801372391071e-08,2.533102188814368,28439.625,36838.125,21235,"[('set', 0.033506665378808975), ('a', 0.02992653101682663), ('the', 0.025123300030827522), ('also', 0.022542385384440422), ('designed', 0.022353312000632286)]"
institutional,investors,institutional investors,12.481369049744885,25,1.095648183380149e-05,8.674810687558931e-07,12.63022586707839,5835.0,18638.125,1166,"[('not', 0.05819941312074661), ('a', 0.03811543807387352), ('very', 0.02362726256251335), ('the', 0.019093109294772148), ('also', 0.015341628342866898)]"
fig,tree,fig tree,12.45297343553193,37,0.001581084624028506,0.00020799181274533396,7.601667600081896,1743.875,3900.5,11,"[('a', 0.06389177590608597), ('also', 0.022765155881643295), ('made', 0.020123619586229324), ('not', 0.019057460129261017), ('taken', 0.01843705028295517)]"
bills,outright,bills outright,12.33431211038192,20,4.391051927399303e-06,1.6912120219814142e-06,2.596393515613005,10402.375,15236.25,1364,"[('introduced', 0.188400536775589), ('passed', 0.0667792335152626), ('approved', 0.036438219249248505), ('signed', 0.025545138865709305), ('sponsored', 0.020890096202492714)]"
feasibility,study,feasibility study,12.324177733248208,21,0.0022147369595089117,3.095669444075355e-05,71.54307006995157,994.25,5253.0,12,"[('not', 0.03369402512907982), ('that', 0.033244866877794266), ('a', 0.02307659015059471), ('also', 0.021153824403882027), ('assessed', 0.01817711628973484)]"
joint,venture,joint venture,12.251833577009954,124,5.16917930415417e-06,1.2413874621586274e-06,4.164033762001731,13824.75,21761.75,1981,"[('set', 0.033506665378808975), ('a', 0.02992653101682663), ('the', 0.025123300030827522), ('also', 0.022542385384440422), ('designed', 0.022353312000632286)]"
insider,trading,insider trading,12.243407636045552,28,6.952128292780912e-05,6.639465482294327e-06,10.47091563518234,2258.625,5782.25,593,"[('also', 0.04984590411186218), ('not', 0.040243133902549744), ('told', 0.036243926733732224), ('a', 0.02584511786699295), ('quoted', 0.023393340408802032)]"
non,recurring,non recurring,12.20923908240067,26,2.7991858075893106e-06,8.788605576626196e-07,3.1850169895368916,13834.0,15102.25,10439,"[('a', 0.05280962958931923), ('not', 0.026755675673484802), ('the', 0.024737970903515816), ('also', 0.013496468774974346), ('to', 0.011951006948947906)]"
nuclear,weapons,nuclear weapons,12.185468446752875,23,8.979377081885787e-05,7.264305255993975e-06,12.360957814206197,1527.375,7791.875,294,"[('a', 0.05541608855128288), ('not', 0.04137573763728142), ('the', 0.02892240881919861), ('never', 0.024866566061973572), ('an', 0.013848355039954185)]"
durable,goods,durable goods,12.170361554362666,23,6.839469079977789e-06,1.720183243847373e-06,3.976011918753835,8064.375,14749.375,2883,"[('hes', 0.2610931098461151), ('her', 0.05425456911325455), ('a', 0.044389866292476654), ('the', 0.03321123495697975), ('made', 0.02149864472448826)]"
human,beings,human beings,12.057364988176976,33,2.6495652285518645e-06,4.6028280120680165e-07,5.756385469118222,10390.125,23532.75,2982,"[('not', 0.03848438337445259), ('a', 0.03287878632545471), ('in', 0.01863497868180275), ('the', 0.018009353429079056), ('born', 0.017584921792149544)]"
bankers,balances,bankers balances,12.028228704941677,20,2.3148870391676013e-06,3.114340185739195e-07,7.432993511009646,17713.625,25381.125,4509,"[('not', 0.03650786727666855), ('a', 0.03569319471716881), ('also', 0.025438420474529266), ('the', 0.02288144826889038), ('in', 0.018120059743523598)]"
withdrawal,rights,withdrawal rights,12.015740682995043,20,4.483594281623482e-06,2.684040161682333e-06,1.6704646769566982,6145.25,9956.25,3806,"[('announced', 0.05335806682705879), ('made', 0.053041476756334305), ('a', 0.0499519445002079), ('not', 0.03955596312880516), ('the', 0.03460519015789032)]"
fir,tree,fir tree,12.005360332708216,36,0.0006879304188789348,0.00020799181274533396,3.3074879717560792,2389.875,3900.5,40,"[('found', 0.035732418298721313), ('a', 0.03567739203572273), ('not', 0.020468898117542267), ('taken', 0.020397966727614403), ('the', 0.017699899151921272)]"
deficiency,payments,deficiency payments,11.987477627847895,29,5.767479426932454e-06,7.427658914593849e-07,7.7648684373491115,10570.125,18857.25,5479,"[('not', 0.041946981102228165), ('caused', 0.03835756704211235), ('found', 0.03805384039878845), ('so', 0.031068354845046997), ('due', 0.028081843629479408)]"
export,enhancement,export enhancement,11.968273339578262,67,1.3858796795163109e-06,7.251995812751488e-07,1.9110321010934128,18557.875,22356.5,4246,"[('a', 0.04331515356898308), ('not', 0.024848762899637222), ('made', 0.02376319281756878), ('approved', 0.02301749587059021), ('to', 0.022441964596509933)]"
allied,signal,allied signal,11.943320437251032,30,3.241802623676904e-05,0.00022096575563068654,0.14671063461503622,4925.125,3435.125,881,"[('not', 0.03196372836828232), ('a', 0.03011363372206688), ('able', 0.029764844104647636), ('also', 0.02314095012843609), ('the', 0.022363362833857536)]"
